Inmueble,Latitud,Longitud,Estado,Superficie Util,Superficie Construida,SuperficieTerreno,Zona,Precio
Casa,19.67755780000000%2C,-101.1978414,Usado,320,,320,- - -,5600
Departamento,19.73444000000000%2C,-101.22481,Nuevo,55,,55,Por el Estadio,439
Bodega,19.70166800000000%2C,-101.240951,Usado,621,,621,- - -,4950
Casa,19.70514240690450%2C,-101.1044312,Nuevo,620,,620,Tres Marias,10
Terreno,19.39111110000000%2C,-101.28,No Aplicable,---,- - -,,- - -,145
Casa,19.75925607719600%2C,-101.2060719,Usado,46,,46,- - -,450
Casa,19.73287613516480%2C,-101.119945,Nuevo,151,,151,- - -,1350
Casa,19.70108470000000%2C,-101.2638927,Usado,---,- - -,,- - -,560
Casa,19.67036430000000%2C,-101.2259896,Usado,179.9,,179.9,- - -,2590
Casa,19.69062470000000%2C,-101.2233359,Usado,112,,112,- - -,880
Bodega,19.70306200000000%2C,-101.239618,Usado,160,,160,- - -,850
Casa,19.67372360000000%2C,-101.1946551,Remodelado,120,,120,- - -,650
Casa,19.68537060490100%2C,-101.1502917,Nuevo,310,,310,- - -,4300
Departamento,19.68246390000000%2C,-101.1546576,Usado,45,,45,- - -,6500
Local Comercial,19.65940054468100%2C,-101.1693192,Usado,750,,620,Altozano,5800
Casa,19.67255376090930%2C,-101.2281351,Nuevo,122,,122,- - -,1100
Terreno,19.66219320484660%2C,-101.1632791,No Aplicable,200,,- - -,- - -,800
Casa,19.66948541485280%2C,-101.2019697,En construccion,169,,160,- - -,2100
Local Comercial,19.68303304566200%2C,-101.1798983,Usado,7.5,,7.5,- - -,245
Habitacion,19.69623440000000%2C,-101.1514727,Usado,---,- - -,,- - -,4500
Casa,19.77155000000000%2C,-101.127311,Usado,154,,154,- - -,600
Casa,19.70317030000000%2C,-101.2279397,Nuevo,90,,90,- - -,895
Terreno,19.74717136518460%2C,-101.1872234,No Aplicable,101.5,,- - -,- - -,100
Local Comercial,19.73386581511140%2C,-101.2079859,Nuevo,42,,42,- - -,292320
Casa,19.67103928897620%2C,-101.2336922,Nuevo,110,,110,- - -,1098
Casa,19.67036430000000%2C,-101.2259896,Usado,179.5,,179.5,- - -,2480
Casa,19.72262980000000%2C,-101.2275856,Usado,120,,120,- - -,1100
Casa,19.69028100000000%2C,-101.298441,Nuevo,---,- - -,,- - -,670
Terreno,19.65131965249590%2C,-101.1278899,No Aplicable,4040,- - -,,- - -,1414
Terreno,19.60531230000000%2C,-101.2881982,No Aplicable,---,200,,SANTIAGO UNDAMEO,150
Casa,19.68212320000000%2C,-101.2243983,Nuevo,150,,150,- - -,1600
Casa,19.68322640000000%2C,-101.2564341,Usado,75,,75,- - -,450
Terreno,19.7059504000%2C,-101.1949825,Nuevo,4284,- - -,,- - -,2
Casa,19.69783171162020%2C,-101.1229067,Nuevo,280,,280,Tres Marias,3750
Casa,19.68930394740020%2C,-101.1561012,Usado,400,,400,Las Américas,4500
Departamento,19.67897870000000%2C,-101.2219193,Usado,100,,100,- - -,930
Casa,19.67091805641140%2C,-101.2173414,Nuevo,210,,210,- - -,2300
Casa,19.70595040000000%2C,-101.1949825,Nuevo,122,,122,- - -,1150
Casa,19.69392635465030%2C,-101.2383614,Usado,117,,117,- - -,980
Casa,19.69447586161580%2C,-101.2391853,Nuevo,108,,126,- - -,1400
Casa,19.69244830000000%2C,-101.1709378,Usado,313,,313,- - -,3500
Casa,19.71776750000000%2C,-101.1999657,Usado,250,,250,- - -,1800
Lote Casa,19.72023540000000%2C,-101.1723536,Usado,---,- - -,,- - -,830
Casa,19.54231962329660%2C,-101.5979576,Nuevo,72,,- - -,- - -,520
Casa,19.71459320000000%2C,-101.232898,Usado,58,,58,- - -,650
Casa,19.68946557224840%2C,-101.3317108,Usado,92.14,,92.14,- - -,600
Casa,19.67036430000000%2C,-101.2259896,Usado,297.6,,297.6,- - -,4900
Casa,19.77243180000000%2C,-101.1355496,Nuevo,93.17,,93.17,- - -,755
Casa,19.69589430000000%2C,-101.1744774,Usado,235,,235,- - -,3250
Casa,19.66862050000000%2C,-101.1766011,En construccion,200,,200,- - -,2200
Terreno,19.65300860808900%2C,-101.1661654,No Aplicable,---,- - -,,Altozano,1722600
Departamento,19.68246390000000%2C,-101.1546576,Usado,60,,60,- - -,7500
Departamento,19.64347672773190%2C,-101.1661005,Usado,193,,193,Altozano,3600
Departamento,19.73939983076660%2C,-101.1995316,Nuevo,70,,70,- - -,420
Casa,19.70914310000000%2C,-101.1971334,Usado,252,,252,- - -,1580
Terreno,19.69686100000000%2C,-101.1431126,No Aplicable,112,,- - -,- - -,310
Casa,19.65233486181440%2C,-101.165822,Usado,300,,300,Altozano,3850
Departamento,19.73939983076660%2C,-101.1995316,Nuevo,70,,70,- - -,420
Terreno,19.66806400000000%2C,-101.1648613,Nuevo,1220,- - -,,- - -,183
Casa,19.65422749827920%2C,-101.2043381,Nuevo,88,,88,- - -,850
Departamento,19.67394884301830%2C,-101.218071,Usado,---,- - -,,Salida a Patzcuaro,430
Casa,19.69051612978520%2C,-101.2583256,Usado,110,,110,- - -,600
Terreno,19.64952550529730%2C,-101.3136225,No Aplicable,---,- - -,,- - -,70
Casa,19.65996600000000%2C,-101.193659,Usado,105,,105,- - -,870
Casa,19.67367285148050%2C,-101.2183504,Usado,199.4,,199.4,Salida a Patzcuaro,1300
Departamento,19.66480700000000%2C,-101.186697,Usado,193,,193,Altozano,3500
Terreno,19.68756600000000%2C,-101.136967,Nuevo,1.50 ha,- - -,,- - -,9
Casa,19.70945930000000%2C,-101.2433635,Usado,110,,110,- - -,750
Terreno,19.56690721050730%2C,-101.6080856,No Aplicable,160,,- - -,- - -,370
Casa,19.66862050000000%2C,-101.1766011,Usado,270,,270,- - -,2900
Casa,19.70108470000000%2C,-101.2638927,Usado,---,- - -,,- - -,560
Casa,19.69366960000000%2C,-101.1631513,Usado,144.5,,- - -,- - -,2
Casa,19.65213416914890%2C,-101.167367,Nuevo,100,,100,Altozano,1380
