Inmueble,Estado,Superficie Util,Oferta,SuperficieTerreno,Precio
Departamento,Nuevo,210,venta,90,1288100
Terreno,No Aplicable,100,venta,100,1800
Terreno,No Aplicable,240,venta,100,1200
Casa,Nuevo,156,venta,156,1853
Terreno,No Aplicable,149.19,venta,100,220
Casa,Usado,280,venta,280,2700
Casa,Nuevo,80.69,venta,80.69,625
Casa,Nuevo,160,venta,160,1750
Casa,Usado,340,renta,340,3
Casa,Usado,270,venta,270,2900
Casa,Nuevo,188,renta,229.5,2
Bodega,Usado,621,venta,621,4950
Casa,Nuevo,140,venta,140,1400
Local,Nuevo,32,renta,32,5
Terreno,No Aplicable,300,venta,100,1250
Casa,Usado,90,venta,72,750
Casa,Usado,720,renta,720,8
Terreno,No Aplicable,500,venta,100,1150
Casa,Nuevo,146,venta,146,1582
Terreno,Usado,400,venta,400,35
Terreno,No Aplicable,4293.95,venta,100,17175.8
Terreno,No Aplicable,360,venta,360,250
Terreno,No Aplicable,500,venta,100,3500
Casa,Nuevo,170,venta,170,1950
Casa,Nuevo,100,venta,100,4200
Casa,Nuevo,190,venta,190,2500
Casa,Nuevo,100,venta,100,8909
Casa,Usado,240,venta,240,3300
Terreno,No Aplicable,400,venta,100,1333.333
Terreno,No Aplicable,717,venta,100,1075.5
Local,Nuevo,60,venta,60,417.6
Terreno,No Aplicable,100,venta,100,100
Casa,Usado,190,venta,190,2400
Casa,Usado,170,venta,170,2900
Casa,Nuevo,139,venta,139,900
Casa,Usado,100,venta,100,1250
Terreno,No Aplicable,3250,venta,100,1300
Casa,Remodelado,120,venta,120,650
Terreno,No Aplicable,120,venta,100,190
Casa,Usado,890,venta,890,7900
Oficinas,Usado,35,venta,35,2500
Terreno,No Aplicable,200,venta,100,350
Casa,Usado,100,venta,100,405
Casa,Usado,248,venta,248,3980
Terreno,No Aplicable,100,venta,100,500
Casa,Nuevo,72,venta,100,520
Casa,Usado,200,venta,200,2150
Casa,Usado,245,venta,245,3500
Casa,Nuevo,200,venta,200,2400
Casa,Usado,64,venta,64,500
Local,Nuevo,60,venta,60,417.6
Casa,Nuevo,124,venta,124,999
Terreno,No Aplicable,200,venta,100,350
Departamento,Usado,100,venta,100,430
Terreno,No Aplicable,160,venta,100,672
Casa,Nuevo,63,venta,63,675
Casa,Usado,100,renta,100,5
